Date,CPI,year,month
January 2017,129.0,2017,1
February 2017,129.2,2017,2
March 2017,129.4,2017,3
April 2017,129.9,2017,4
May 2017,129.9,2017,5
June 2017,129.9,2017,6
July 2017,129.9,2017,7
August 2017,129.9,2017,8
September 2017,130.2,2017,9
October 2017,130.3,2017,10
November 2017,130.8,2017,11
December 2017,130.2,2017,12
January 2018,131.1,2018,1
February 2018,131.9,2018,2
March 2018,132.2,2018,3
April 2018,132.6,2018,4
May 2018,132.7,2018,5
June 2018,132.9,2018,6
July 2018,133.6,2018,7
August 2018,133.5,2018,8
September 2018,133.0,2018,9
October 2018,133.4,2018,10
November 2018,132.8,2018,11
December 2018,132.8,2018,12
January 2019,133.0,2019,1
February 2019,133.9,2019,2
March 2019,134.8,2019,3
April 2019,135.1,2019,4
May 2019,135.8,2019,5
June 2019,135.5,2019,6
July 2019,136.3,2019,7
August 2019,136.0,2019,8
September 2019,135.4,2019,9
October 2019,135.9,2019,10
November 2019,135.7,2019,11
December 2019,135.7,2019,12
January 2020,136.0,2020,1
February 2020,136.7,2020,2
March 2020,135.8,2020,3
April 2020,134.9,2020,4
May 2020,135.2,2020,5
June 2020,136.3,2020,6
July 2020,136.4,2020,7
August 2020,136.1,2020,8
September 2020,136.0,2020,9
October 2020,136.6,2020,10
November 2020,136.8,2020,11
December 2020,136.5,2020,12
January 2021,137.4,2021,1
February 2021,138.1,2021,2
March 2021,138.7,2021,3
April 2021,139.2,2021,4
May 2021,139.9,2021,5
June 2021,140.3,2021,6
July 2021,141.1,2021,7
August 2021,141.5,2021,8
September 2021,141.8,2021,9
October 2021,142.8,2021,10
November 2021,143.0,2021,11
December 2021,142.9,2021,12
January 2022,144.2,2022,1
February 2022,145.6,2022,2
March 2022,147.7,2022,3
April 2022,148.6,2022,4
May 2022,150.7,2022,5
June 2022,151.6,2022,6
July 2022,151.9,2022,7
August 2022,151.3,2022,8
September 2022,151.4,2022,9
October 2022,152.6,2022,10
November 2022,152.8,2022,11
December 2022,151.8,2022,12
January 2023,152.7,2023,1
February 2023,153.3,2023,2
March 2023,154.1,2023,3
April 2023,155.0,2023,4
May 2023,155.6,2023,5
June 2023,155.7,2023,6
July 2023,156.6,2023,7
August 2023,157.2,2023,8
September 2023,157.0,2023,9
October 2023,157.2,2023,10
November 2023,157.4,2023,11
December 2023,156.8,2023,12
